text,sentiment,sentiment_num,Date,Price,Price_MA,Sentiment_MA,price_smooth,sentiment_smooth
Gold prices remain stable despite inflation,neutral,0,2020-02-28,1514.042883361276,1517.224641314693,-0.3,1517.224641314693,-0.3
No major movement in gold prices because of central bank policies,neutral,0,2020-02-29,1508.4779480853158,1516.4321340754846,-0.4,1516.4321340754846,-0.4
Gold demand is increasing amid economic uncertainty,positive,1,2020-03-01,1510.3342375519196,1515.565788153761,-0.3,1515.565788153761,-0.3
Gold remains unchanged in light of strong dollar,neutral,0,2020-03-02,1516.6575520149754,1515.0807429370425,-0.2,1515.0807429370425,-0.2
Gold is gaining value as market volatility improves,positive,1,2020-03-03,1528.1946445609403,1515.704789134986,0.0,1515.704789134986,0.0
Gold is trading sideways due to weak currency,neutral,0,2020-03-04,1532.5306758360698,1517.1210980633643,0.1,1517.1210980633643,0.1
Gold prices are rising due to global tensions,positive,1,2020-03-05,1536.6494198642613,1519.2565287337377,0.2,1519.2565287337377,0.2
Selling pressure reduces gold value because of weak currency,negative,-1,2020-03-06,1538.114473487524,1521.3373644536823,0.1,1521.3373644536823,0.1
Gold is gaining value as market volatility improves,positive,1,2020-03-07,1537.5082260016352,1523.4513965899162,0.3,1523.4513965899162,0.3
Gold is gaining value as weak currency improves,positive,1,2020-03-08,1528.53147118525,1525.1041531949168,0.4,1525.1041531949168,0.4
Strong buying interest pushes gold higher due to global tensions,positive,1,2020-03-09,1530.968113235512,1526.7966761823404,0.5,1526.7966761823404,0.5
Selling pressure reduces gold value because of economic uncertainty,negative,-1,2020-03-10,1532.12055440111,1529.1609368139198,0.4,1529.1609368139198,0.4
No major movement in gold prices because of investor sentiment,neutral,0,2020-03-11,1532.5222642881397,1531.379739487542,0.3,1531.379739487542,0.3
Gold is gaining value as investor sentiment improves,positive,1,2020-03-12,1547.085869426386,1534.422571228683,0.4,1534.422571228683,0.4
Strong buying interest pushes gold higher due to weak currency,positive,1,2020-03-13,1545.0584443581554,1536.1089512084045,0.4,1536.1089512084045,0.4
Investors are optimistic about gold because of stock market fluctuations,positive,1,2020-03-14,1551.1967123247882,1537.9755548572762,0.5,1537.9755548572762,0.5
Investors are optimistic about gold because of market volatility,positive,1,2020-03-15,1554.7521531295954,1539.7858281838094,0.5,1539.7858281838094,0.5
Gold demand is decreasing amid stock market fluctuations,negative,-1,2020-03-16,1549.8579788860145,1540.9601787236586,0.5,1540.9601787236586,0.5
Gold prices are falling because of inflation,negative,-1,2020-03-17,1549.9163970019652,1542.2009958236918,0.3,1542.2009958236918,0.3
Gold remains unchanged in light of interest rate changes,neutral,0,2020-03-18,1553.679854612101,1544.715834166377,0.2,1544.715834166377,0.2
Gold is gaining value as central bank policies improves,positive,1,2020-03-19,1555.2690757865432,1547.1459304214798,0.2,1547.1459304214798,0.2
Gold demand is decreasing amid geopolitical risks,negative,-1,2020-03-20,1558.4422734129894,1549.7781023226676,0.2,1549.7781023226676,0.2
Gold market shows little change amid geopolitical risks,neutral,0,2020-03-21,1546.5650150455936,1551.182377398413,0.2,1551.182377398413,0.2
Gold is trading sideways due to central bank policies,neutral,0,2020-03-22,1546.370682163336,1551.1108586721082,0.1,1551.1108586721082,0.1
Investors are worried about gold due to weak currency,negative,-1,2020-03-23,1545.1104432335146,1551.116058559644,-0.1,1551.116058559644,-0.1
Gold market shows little change amid geopolitical risks,neutral,0,2020-03-24,1542.646056167162,1550.2609929438815,-0.2,1550.2609929438815,-0.2
Gold market shows little change amid strong dollar,neutral,0,2020-03-25,1549.12359245584,1549.698136876506,-0.3,1549.698136876506,-0.3
Gold demand is decreasing amid interest rate changes,negative,-1,2020-03-26,1545.209478688563,1549.2332868567607,-0.3,1549.2332868567607,-0.3
Gold prices are falling because of strong dollar,negative,-1,2020-03-27,1543.5792666389077,1548.5995738204551,-0.3,1548.5995738204551,-0.3
Gold demand is increasing amid central bank policies,positive,1,2020-03-28,1540.9861145474697,1547.3301998139918,-0.2,1547.3301998139918,-0.2
Gold is trading sideways due to inflation,neutral,0,2020-03-29,1541.7129261693383,1545.9745848522714,-0.3,1545.9745848522714,-0.3
Gold demand is increasing amid economic uncertainty,positive,1,2020-03-30,1536.8636000399383,1543.8167175149665,-0.1,1543.8167175149665,-0.1
Gold prices are rising due to economic uncertainty,positive,1,2020-03-31,1535.87889423431,1542.748105433838,0.0,1542.748105433838,0.0
Gold is trading sideways due to stock market fluctuations,neutral,0,2020-04-01,1534.307886828724,1541.5418259003768,0.0,1541.5418259003768,0.0
Investors are worried about gold due to inflation,negative,-1,2020-04-02,1536.1681357157092,1540.647595148596,0.0,1540.647595148596,0.0
Investors are optimistic about gold because of investor sentiment,positive,1,2020-04-03,1528.9807901389102,1539.2810685457712,0.1,1539.2810685457712,0.1
No major movement in gold prices because of central bank policies,neutral,0,2020-04-04,1522.49308288772,1536.618017588959,0.1,1536.618017588959,0.1
Selling pressure reduces gold value because of strong dollar,negative,-1,2020-04-05,1527.9782287046344,1534.894892590566,0.1,1534.894892590566,0.1
Investors are optimistic about gold because of stock market fluctuations,positive,1,2020-04-06,1532.53774634454,1533.7907405611293,0.3,1533.7907405611293,0.3
Gold demand is increasing amid interest rate changes,positive,1,2020-04-07,1544.1545252468316,1534.1075816310654,0.3,1534.1075816310654,0.3
Gold prices are falling because of strong dollar,negative,-1,2020-04-08,1548.7981159943297,1534.816100613565,0.2,1534.816100613565,0.2
Gold is gaining value as geopolitical risks improves,positive,1,2020-04-09,1546.411326797824,1535.7708732893534,0.2,1535.7708732893534,0.2
Gold is gaining value as strong dollar improves,positive,1,2020-04-10,1542.8735766144437,1536.4703415273666,0.2,1536.4703415273666,0.2
Gold remains unchanged in light of interest rate changes,neutral,0,2020-04-11,1547.8780252273816,1537.8273553672325,0.2,1537.8273553672325,0.2
Gold prices are rising due to geopolitical risks,positive,1,2020-04-12,1553.0712178783751,1539.5176635834991,0.4,1539.5176635834991,0.4
Gold is gaining value as geopolitical risks improves,positive,1,2020-04-13,1562.3179684758004,1542.851381417188,0.4,1542.851381417188,0.4
Gold remains unchanged in light of economic uncertainty,neutral,0,2020-04-14,1565.8855734211145,1547.1906304705274,0.4,1547.1906304705274,0.4
Gold demand is decreasing amid central bank policies,negative,-1,2020-04-15,1572.943814597072,1551.6871890597713,0.4,1551.6871890597713,0.4
Gold demand is increasing amid weak currency,positive,1,2020-04-16,1568.9207656766334,1555.3254909929806,0.4,1555.3254909929806,0.4
Gold is trading sideways due to interest rate changes,neutral,0,2020-04-17,1573.184355873825,1558.2284740556802,0.3,1558.2284740556802,0.3
Gold market shows little change amid inflation,neutral,0,2020-04-18,1565.4850124777467,1559.8971637040218,0.4,1559.8971637040218,0.4
Gold is gaining value as inflation improves,positive,1,2020-04-19,1574.8098041680266,1562.737011441042,0.4,1562.737011441042,0.4
Gold prices remain stable despite inflation,neutral,0,2020-04-20,1563.3685111415823,1564.7865048937558,0.3,1564.7865048937558,0.3
Gold demand is decreasing amid stock market fluctuations,negative,-1,2020-04-21,1558.2002709759008,1565.8187294686077,0.2,1565.8187294686077,0.2
Strong buying interest pushes gold higher due to stock market fluctuations,positive,1,2020-04-22,1562.0445228723115,1566.7160599680014,0.2,1566.7160599680014,0.2
Investors are worried about gold due to geopolitical risks,negative,-1,2020-04-23,1567.379573395443,1567.2222204599657,0.0,1567.2222204599657,0.0
Investors are optimistic about gold because of stock market fluctuations,positive,1,2020-04-24,1573.7145188088862,1568.0051149987428,0.1,1568.0051149987428,0.1
Gold remains unchanged in light of central bank policies,neutral,0,2020-04-25,1572.1910699118432,1567.92984053022,0.2,1567.92984053022,0.2
Selling pressure reduces gold value because of stock market fluctuations,negative,-1,2020-04-26,1577.206287102262,1568.7583926727827,0.0,1568.7583926727827,0.0
No major movement in gold prices because of weak currency,neutral,0,2020-04-27,1577.1202022385469,1569.1519773092548,0.0,1569.1519773092548,0.0
Selling pressure reduces gold value because of weak currency,negative,-1,2020-04-28,1580.0340414626796,1570.6068802077482,-0.1,1570.6068802077482,-0.1
Gold is gaining value as interest rate changes improves,positive,1,2020-04-29,1577.9778119929424,1570.92368099024,-0.1,1570.92368099024,-0.1
Gold remains unchanged in light of global tensions,neutral,0,2020-04-30,1576.346372057487,1572.2214670818305,-0.1,1572.2214670818305,-0.1
Strong buying interest pushes gold higher due to interest rate changes,positive,1,2020-05-01,1583.805624721995,1574.7820024564396,0.1,1574.7820024564396,0.1
Gold demand is decreasing amid inflation,negative,-1,2020-05-02,1589.2122093322714,1577.4987711024355,-0.1,1577.4987711024355,-0.1
Selling pressure reduces gold value because of interest rate changes,negative,-1,2020-05-03,1590.1918779175855,1579.7800015546495,-0.1,1579.7800015546495,-0.1
No major movement in gold prices because of market volatility,neutral,0,2020-05-04,1592.7517001670074,1581.683719690462,-0.2,1581.683719690462,-0.2
Investors are worried about gold due to global tensions,negative,-1,2020-05-05,1588.7992500726564,1583.3445377065432,-0.3,1583.3445377065432,-0.3
Gold demand is increasing amid geopolitical risks,positive,1,2020-05-06,1583.924435855452,1584.0163525818623,-0.1,1584.0163525818623,-0.1
Gold prices remain stable despite strong dollar,neutral,0,2020-05-07,1592.0875542155393,1585.5130877795616,-0.1,1585.5130877795616,-0.1
Gold demand is decreasing amid investor sentiment,negative,-1,2020-05-08,1592.447836343936,1586.7544672676872,-0.1,1586.7544672676872,-0.1
Investors are optimistic about gold because of stock market fluctuations,positive,1,2020-05-09,1585.5699885735476,1587.5136849257476,-0.1,1587.5136849257476,-0.1
Gold demand is decreasing amid investor sentiment,negative,-1,2020-05-10,1588.6823775960895,1588.747285479608,-0.2,1588.747285479608,-0.2
Gold market weakens as geopolitical risks declines,negative,-1,2020-05-11,1584.580779702541,1588.8248009776628,-0.4,1588.8248009776628,-0.4
Gold prices remain stable despite stock market fluctuations,neutral,0,2020-05-12,1592.5563583862663,1589.1592158830622,-0.3,1589.1592158830622,-0.3
Gold remains unchanged in light of global tensions,neutral,0,2020-05-13,1600.124234223391,1590.1524515136427,-0.2,1590.1524515136427,-0.2
Gold demand is increasing amid strong dollar,positive,1,2020-05-14,1597.1029949799638,1590.5875809949382,-0.1,1590.5875809949382,-0.1
Gold prices are falling because of geopolitical risks,negative,-1,2020-05-15,1603.7511090268454,1592.082766890357,-0.1,1592.082766890357,-0.1
Selling pressure reduces gold value because of weak currency,negative,-1,2020-05-16,1605.7213282410391,1594.2624561289158,-0.3,1594.2624561289158,-0.3
Selling pressure reduces gold value because of economic uncertainty,negative,-1,2020-05-17,1593.0282523172598,1594.356525939088,-0.4,1594.356525939088,-0.4
Investors are optimistic about gold because of weak currency,positive,1,2020-05-18,1587.0553375817203,1593.8172760628663,-0.2,1593.8172760628663,-0.2
Investors are worried about gold due to geopolitical risks,negative,-1,2020-05-19,1591.8589407188265,1594.4461712773943,-0.4,1594.4461712773943,-0.4
Gold prices remain stable despite stock market fluctuations,neutral,0,2020-05-20,1592.2421023473855,1594.8021437525238,-0.3,1594.8021437525238,-0.3
Gold is trading sideways due to geopolitical risks,neutral,0,2020-05-21,1603.4032120095742,1596.6843869832271,-0.2,1596.6843869832271,-0.2
Gold prices are falling because of interest rate changes,negative,-1,2020-05-22,1594.5428577606297,1596.8830369206637,-0.3,1596.8830369206637,-0.3
Gold is gaining value as geopolitical risks improves,positive,1,2020-05-23,1590.2916983050422,1595.8997833288286,-0.2,1595.8997833288286,-0.2
Gold remains unchanged in light of global tensions,neutral,0,2020-05-24,1590.9388883209488,1595.2833726629274,-0.3,1595.2833726629274,-0.3
Gold market weakens as global tensions declines,negative,-1,2020-05-25,1586.8069112656613,1593.5889528868088,-0.3,1593.5889528868088,-0.3
Gold demand is increasing amid economic uncertainty,positive,1,2020-05-26,1582.4443977335866,1591.2612598360636,-0.1,1591.2612598360636,-0.1
Gold prices are rising due to strong dollar,positive,1,2020-05-27,1577.442892455948,1589.7027238499322,0.1,1589.7027238499322,0.1
Gold prices are rising due to investor sentiment,positive,1,2020-05-28,1577.4486337049766,1588.742053462258,0.1,1588.742053462258,0.1
Gold market weakens as market volatility declines,negative,-1,2020-05-29,1579.107674665721,1587.466926856947,0.1,1587.466926856947,0.1
Gold market weakens as strong dollar declines,negative,-1,2020-05-30,1585.7345828443604,1586.8161749066448,0.0,1586.8161749066448,0.0
No major movement in gold prices because of economic uncertainty,neutral,0,2020-05-31,1589.0256172868596,1585.3784154343734,0.0,1585.3784154343734,0.0
No major movement in gold prices because of stock market fluctuations,neutral,0,2020-06-01,1592.4995042413236,1585.174080082443,0.1,1585.174080082443,0.1
Gold prices remain stable despite stock market fluctuations,neutral,0,2020-06-02,1597.7562426824763,1585.920534520186,0.0,1585.920534520186,0.0
Gold prices are rising due to global tensions,positive,1,2020-06-03,1588.9688193406903,1585.7235276221604,0.1,1585.7235276221604,0.1
Investors are worried about gold due to stock market fluctuations,negative,-1,2020-06-04,1590.2885508589702,1586.0716915814912,0.1,1586.0716915814912,0.1
Gold prices are falling because of geopolitical risks,negative,-1,2020-06-05,1595.2905117696384,1587.3563029850964,-0.1,1587.3563029850964,-0.1
No major movement in gold prices because of global tensions,neutral,0,2020-06-06,1598.395097321573,1589.451523471659,-0.2,1589.451523471659,-0.2
Gold prices are rising due to weak currency,positive,1,2020-06-07,1596.0058500992566,1591.307245111087,-0.2,1591.307245111087,-0.2
Gold prices are rising due to central bank policies,positive,1,2020-06-08,1600.4283878077658,1593.4393164252913,0.0,1593.4393164252913,0.0
Gold market weakens as economic uncertainty declines,negative,-1,2020-06-09,1598.1451757596303,1594.6803757168186,0.0,1594.6803757168186,0.0
Strong buying interest pushes gold higher due to inflation,positive,1,2020-06-10,1601.6899711350625,1595.9468111016388,0.1,1595.9468111016388,0.1
Gold demand is decreasing amid interest rate changes,negative,-1,2020-06-11,1606.316151400981,1597.3284758176044,0.0,1597.3284758176044,0.0
Gold is gaining value as economic uncertainty improves,positive,1,2020-06-12,1605.5292306174697,1598.105774611104,0.1,1598.105774611104,0.1
Gold remains unchanged in light of economic uncertainty,neutral,0,2020-06-13,1610.8438544395383,1600.2932781209886,0.0,1600.2932781209886,0.0
Gold is trading sideways due to weak currency,neutral,0,2020-06-14,1613.7735958613152,1602.6417826212232,0.1,1602.6417826212232,0.1
Gold prices are rising due to investor sentiment,positive,1,2020-06-15,1606.8691814652225,1603.7996495907814,0.3,1603.7996495907814,0.3
Gold remains unchanged in light of global tensions,neutral,0,2020-06-16,1598.2247268114552,1603.7826125397698,0.3,1603.7826125397698,0.3
Gold market shows little change amid global tensions,neutral,0,2020-06-17,1598.0739873424295,1603.9894262640871,0.2,1603.9894262640871,0.2
Investors are worried about gold due to geopolitical risks,negative,-1,2020-06-18,1598.5924839828626,1603.8058358815967,0.0,1603.8058358815967,0.0
Investors are optimistic about gold because of weak currency,positive,1,2020-06-19,1595.337373371582,1603.5250556427918,0.2,1603.5250556427918,0.2
Gold prices remain stable despite central bank policies,neutral,0,2020-06-20,1592.9606202219047,1602.652120551476,0.1,1602.652120551476,0.1
Investors are worried about gold due to interest rate changes,negative,-1,2020-06-21,1587.1273916528064,1600.7332445766588,0.1,1600.7332445766588,0.1
Selling pressure reduces gold value because of global tensions,negative,-1,2020-06-22,1585.8769732298726,1598.7680188378988,-0.1,1598.7680188378988,-0.1
Gold prices are falling because of market volatility,negative,-1,2020-06-23,1581.8696500740878,1595.8705984013538,-0.2,1595.8705984013538,-0.2
No major movement in gold prices because of investor sentiment,neutral,0,2020-06-24,1586.0543599142802,1593.0986748066505,-0.2,1593.0986748066505,-0.2
Gold demand is decreasing amid economic uncertainty,negative,-1,2020-06-25,1581.1607304483846,1590.5278297049665,-0.4,1590.5278297049665,-0.4
Gold is gaining value as stock market fluctuations improves,positive,1,2020-06-26,1583.6119130170896,1589.06654832553,-0.3,1589.06654832553,-0.3
Gold prices are falling because of global tensions,negative,-1,2020-06-27,1582.2341617078791,1587.4825657620752,-0.4,1587.4825657620752,-0.4
Gold prices are falling because of weak currency,negative,-1,2020-06-28,1584.0200219092878,1586.0253195547175,-0.4,1586.0253195547175,-0.4
Gold market weakens as global tensions declines,negative,-1,2020-06-29,1584.5764484381946,1584.949227061379,-0.6,1584.949227061379,-0.6
Gold demand is decreasing amid geopolitical risks,negative,-1,2020-06-30,1583.3652958232824,1583.9896946215165,-0.7,1583.9896946215165,-0.7
Gold demand is decreasing amid investor sentiment,negative,-1,2020-07-01,1593.5011974545164,1584.6270752016876,-0.7,1584.6270752016876,-0.7
Selling pressure reduces gold value because of geopolitical risks,negative,-1,2020-07-02,1593.7548406753936,1585.4148619462396,-0.7,1585.4148619462396,-0.7
Gold remains unchanged in light of inflation,neutral,0,2020-07-03,1592.9004558669774,1586.5179425255287,-0.6,1586.5179425255287,-0.6
Gold demand is decreasing amid strong dollar,negative,-1,2020-07-04,1595.4611007048768,1587.4586166045883,-0.7,1587.4586166045883,-0.7
Gold remains unchanged in light of central bank policies,neutral,0,2020-07-05,1593.4013268282356,1588.6826762425733,-0.6,1588.6826762425733,-0.6
Gold demand is increasing amid geopolitical risks,positive,1,2020-07-06,1586.587770414864,1588.9802619823508,-0.6,1588.9802619823508,-0.6
Strong buying interest pushes gold higher due to strong dollar,positive,1,2020-07-07,1582.1480992308882,1588.9716557346514,-0.4,1588.9716557346514,-0.4
Gold prices remain stable despite weak currency,neutral,0,2020-07-08,1582.2952637254375,1588.799179916267,-0.3,1588.799179916267,-0.3
No major movement in gold prices because of economic uncertainty,neutral,0,2020-07-09,1589.4871635322615,1589.2902514256734,-0.2,1589.2902514256734,-0.2
Gold prices are rising due to global tensions,positive,1,2020-07-10,1584.0987331285014,1589.3635951561953,0.0,1589.3635951561953,0.0
Gold market weakens as inflation declines,negative,-1,2020-07-11,1577.8020000602771,1587.7936754167713,0.0,1587.7936754167713,0.0
Gold market weakens as economic uncertainty declines,negative,-1,2020-07-12,1580.6993144066294,1586.488122789895,0.0,1586.488122789895,0.0
Gold demand is increasing amid inflation,positive,1,2020-07-13,1580.8846242841837,1585.2865396316154,0.1,1585.2865396316154,0.1
Gold is gaining value as central bank policies improves,positive,1,2020-07-14,1577.6670891277013,1583.5071384738978,0.3,1583.5071384738978,0.3
No major movement in gold prices because of investor sentiment,neutral,0,2020-07-15,1580.7026203321811,1582.2372678242923,0.3,1582.2372678242923,0.3
Gold prices are rising due to geopolitical risks,positive,1,2020-07-16,1588.7064031618402,1582.4491310989902,0.3,1582.4491310989902,0.3
Strong buying interest pushes gold higher due to market volatility,positive,1,2020-07-17,1588.420096962558,1583.076330872157,0.3,1583.076330872157,0.3
Gold market shows little change amid market volatility,neutral,0,2020-07-18,1585.4025761021371,1583.3870621098272,0.3,1583.3870621098272,0.3
Gold prices are falling because of interest rate changes,negative,-1,2020-07-19,1584.511002885646,1582.8894460451654,0.2,1582.8894460451654,0.2
Gold prices are falling because of weak currency,negative,-1,2020-07-20,1588.4292451719148,1583.3224972495068,0.0,1583.3224972495068,0.0
Strong buying interest pushes gold higher due to economic uncertainty,positive,1,2020-07-21,1587.6023994929358,1584.302537192773,0.2,1584.302537192773,0.2
No major movement in gold prices because of global tensions,neutral,0,2020-07-22,1593.0479191095058,1585.5373976630603,0.3,1585.5373976630603,0.3
Investors are optimistic about gold because of weak currency,positive,1,2020-07-23,1591.049124912823,1586.5538477259242,0.3,1586.5538477259242,0.3
Selling pressure reduces gold value because of stock market fluctuations,negative,-1,2020-07-24,1584.2319570129391,1587.2103345144485,0.1,1587.2103345144485,0.1
Gold remains unchanged in light of geopolitical risks,neutral,0,2020-07-25,1586.4803275496845,1587.7881052361984,0.1,1587.7881052361984,0.1
Gold is gaining value as central bank policies improves,positive,1,2020-07-26,1575.318161894223,1586.4492811094367,0.1,1586.4492811094367,0.1
Gold prices remain stable despite weak currency,neutral,0,2020-07-27,1579.9802803736536,1585.6052994505462,0.0,1585.6052994505462,0.0
No major movement in gold prices because of stock market fluctuations,neutral,0,2020-07-28,1580.9416996644657,1585.159211806779,0.0,1585.159211806779,0.0
Gold is trading sideways due to market volatility,neutral,0,2020-07-29,1578.4444233971835,1584.5525538579327,0.1,1584.5525538579327,0.1
Investors are optimistic about gold because of global tensions,positive,1,2020-07-30,1574.493693338614,1583.1589986746026,0.3,1583.1589986746026,0.3
Gold market weakens as market volatility declines,negative,-1,2020-07-31,1565.7886022567552,1580.9776189509846,0.1,1580.9776189509846,0.1
Selling pressure reduces gold value because of strong dollar,negative,-1,2020-08-01,1564.6246018090676,1578.1352872209409,0.0,1578.1352872209409,0.0
